         37994448 function calls (37476797 primitive calls) in 57.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    35/26    0.001    0.000    0.162    0.006 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.160    0.160 __init__.py:355(_load_global_deps)
        4    0.000    0.000    0.159    0.040 auth.py:1(<module>)
        1    0.000    0.000    0.158    0.158 __init__.py:321(_preload_cuda_deps)
       16    0.000    0.000    0.158    0.010 __init__.py:304(_preload_cuda_lib)
    10000    0.151    0.000    0.158    0.000 discrete.py:156(contains)
     3789    0.013    0.000    0.155    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
       23    0.000    0.000    0.155    0.007 __init__.py:343(__init__)
       23    0.154    0.007    0.154    0.007 {built-in method _ctypes.dlopen}
        2    0.000    0.000    0.153    0.077 internal.py:1(<module>)
        1    0.000    0.000    0.151    0.151 internal_api.py:1(<module>)
  656/582    0.002    0.000    0.151    0.000 _generate_schema.py:1221(_generate_md_field_schema)
        1    0.000    0.000    0.150    0.150 cm.py:1(<module>)
  677/597    0.009    0.000    0.149    0.000 _generate_schema.py:1261(_common_field_schema)
        4    0.000    0.000    0.149    0.037 text.py:1(<module>)
     7512    0.009    0.000    0.147    0.000 inspect.py:863(getdoc)
        1    0.000    0.000    0.147    0.147 knobs.py:1(<module>)
     5010    0.145    0.000    0.146    0.000 api.py:131(_get_observation)
      742    0.008    0.000    0.146    0.000 dataclasses.py:568(_init_fn)
    20030    0.024    0.000    0.145    0.000 {method 'all' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.145    0.024 response.py:1(<module>)
2709/1882    0.003    0.000    0.144    0.000 typing.py:515(__getitem__)
     9748    0.008    0.000    0.143    0.000 _methods.py:49(_sum)
        1    0.001    0.001    0.141    0.141 __init__.py:68(bootstrap)
       12    0.140    0.012    0.140    0.012 {built-in method torch._foreach_mul_}
        1    0.000    0.000    0.136    0.136 _assistants.py:1(<module>)
   442/65    0.028    0.000    0.135    0.002 library.py:280(impl)
        2    0.000    0.000    0.132    0.066 __config__.py:1(<module>)
     3612    0.021    0.000    0.131    0.000 typing.py:1269(__init__)
       30    0.002    0.000    0.131    0.004 decorators.py:398(wrapper)
        1    0.000    0.000    0.131    0.131 batch.py:1(<module>)
    92/19    0.001    0.000    0.130    0.007 custom_ops.py:189(__init__)
        1    0.000    0.000    0.128    0.128 cond.py:1(<module>)
     4664    0.009    0.000    0.127    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
  682/597    0.003    0.000    0.127    0.000 _generate_schema.py:2185(_apply_annotations)
        1    0.000    0.000    0.127    0.127 associative_scan.py:1(<module>)
    10809    0.038    0.000    0.127    0.000 typing.py:175(_type_check)
      560    0.002    0.000    0.126    0.000 _parser.py:969(parse)
        1    0.000    0.000    0.125    0.125 polyfuncs.py:1(<module>)
        1    0.000    0.000    0.125    0.125 specialpolys.py:1(<module>)
 1610/560    0.014    0.000    0.122    0.000 _parser.py:452(_parse_sub)
    20030    0.014    0.000    0.121    0.000 _methods.py:66(_all)
     1819    0.012    0.000    0.121    0.000 typing.py:694(Union)
       10    0.120    0.012    0.120    0.012 {method 'gather' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.120    0.120 cm.py:32(_gen_cmap_registry)
     4884    0.038    0.000    0.120    0.000 api.py:193(_get_fov)
        1    0.019    0.019    0.120    0.120 {method 'dump' of '_pickle.Pickler' objects}
      126    0.007    0.000    0.119    0.001 autograd.py:24(make_autograd_impl)
     5000    0.119    0.000    0.119    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
  794/597    0.001    0.000    0.119    0.000 _schema_generation_shared.py:82(__call__)
        1    0.000    0.000    0.118    0.118 rings.py:1(<module>)
 2336/740    0.043    0.000    0.118    0.000 _parser.py:512(_parse)
        2    0.000    0.000    0.114    0.057 _models.py:1(<module>)
     5000    0.024    0.000    0.114    0.000 fromnumeric.py:2241(clip)
    15713    0.008    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.114    0.114 aoti_call_delegate.py:1(<module>)
       67    0.112    0.002    0.112    0.002 colors.py:1134(reversed)
     3256    0.004    0.000    0.112    0.000 _typing_extra.py:384(try_eval_type)
